time,size
0.8920948505401611,100
0.4679288864135742,200
0.5169460773468018,300
0.5000948905944824,400
0.41054463386535645,500
0.484877347946167,600
0.44193220138549805,700
0.6960649490356445,800
0.645667552947998,900
0.691664457321167,1000
0.6622161865234375,1100
0.4396226406097412,1200
0.42858147621154785,1300
0.3911621570587158,1400
0.4920473098754883,1500
0.6501984596252441,1600
0.6862757205963135,1700
0.6527261734008789,1800
0.7005901336669922,1900
0.548698902130127,2000
0.4491541385650635,2100
0.47780752182006836,2200
0.5020883083343506,2300
0.46655893325805664,2400
0.4957735538482666,2500
0.47459840774536133,2600
0.4379901885986328,2700
0.4501802921295166,2800
0.459399938583374,2900
0.47522449493408203,3000
0.5014188289642334,3100
0.663794994354248,3200
0.6024460792541504,3300
0.6003298759460449,3400
0.6831626892089844,3500
0.6197559833526611,3600
0.39495277404785156,3700
0.40187740325927734,3800
0.3883819580078125,3900
0.5976498126983643,4000
0.5225205421447754,4100
0.44509458541870117,4200
0.46406984329223633,4300
0.4882059097290039,4400
0.4422619342803955,4500
0.40924954414367676,4600
0.4501371383666992,4700
0.5704512596130371,4800
0.5805239677429199,4900
