time,size,num_batch
0.814056396484375,100,200
0.7299356460571289,200,100
0.6178548336029053,300,67
0.4867620468139648,400,50
0.4598896503448486,500,40
0.4678599834442138,600,34
0.5281155109405518,700,29
0.5421359539031982,800,25
0.4584386348724365,900,23
0.459864616394043,1000,20
0.5035307407379149,1100,19
0.5769970417022705,1200,17
0.5251197814941406,1300,16
0.4031670093536377,1400,15
0.4004044532775879,1500,14
0.3743488788604736,1600,13
0.4789559841156006,1700,12
0.4477884769439697,1800,12
0.37473416328430176,1900,11
0.38060808181762695,2000,10
0.3787105083465576,2100,10
0.4271256923675537,2200,10
0.5278811454772949,2300,9
0.6299586296081543,2400,9
0.4327964782714844,2500,8
0.4621627330780029,2600,8
0.411806583404541,2700,8
0.5610182285308838,2800,8
0.5676918029785156,2900,7
0.5891962051391602,3000,7
0.4258749485015869,3100,7
0.4148008823394776,3200,7
0.4769749641418457,3300,7
0.4265918731689453,3400,6
0.39704370498657227,3500,6
0.4105756282806397,3600,6
0.4173884391784668,3700,6
0.4451870918273926,3800,6
0.45188307762146,3900,6
0.5968711376190186,4000,5
0.6316061019897461,4100,5
0.4850420951843262,4200,5
0.5454227924346924,4300,5
0.5830042362213135,4400,5
0.5693860054016113,4500,5
0.4999034404754639,4600,5
0.5812413692474365,4700,5
0.3986101150512695,4800,5
0.3700242042541504,4900,5
0.5159711837768555,5000,4
1.124476671218872,100,200
0.7704796791076659,200,100
0.5208442211151123,300,67
0.522458553314209,400,50
0.6080052852630615,500,40
0.5740749835968018,600,34
0.4392068386077881,700,29
0.525057315826416,800,25
0.8169839382171631,900,23
0.5276498794555664,1000,20
0.5072176456451416,1100,19
0.4604489803314209,1200,17
0.4504063129425049,1300,16
0.5405828952789307,1400,15
0.4051270484924317,1500,14
0.3976054191589356,1600,13
0.4267594814300537,1700,12
0.5478293895721436,1800,12
0.552077054977417,1900,11
0.4547991752624512,2000,10
0.5927224159240723,2100,10
0.5121467113494873,2200,10
0.6108846664428711,2300,9
0.4554955959320069,2400,9
0.4361774921417236,2500,8
0.4617142677307129,2600,8
0.5185039043426514,2700,8
0.44639039039611816,2800,8
0.4238760471343994,2900,7
0.4404764175415039,3000,7
0.387169361114502,3100,7
0.378216028213501,3200,7
0.3441123962402344,3300,7
0.40079212188720703,3400,6
0.4289205074310303,3500,6
0.4472651481628418,3600,6
0.4924402236938477,3700,6
0.3877708911895752,3800,6
0.4184920787811279,3900,6
0.534029483795166,4000,5
0.4193737506866455,4100,5
0.44777655601501465,4200,5
0.42446017265319824,4300,5
0.5902705192565918,4400,5
0.5019195079803467,4500,5
0.4601273536682129,4600,5
0.42244505882263184,4700,5
0.4863848686218262,4800,5
0.4940421581268311,4900,5
0.5050215721130371,5000,4
1.0959265232086182,100,200
0.6410598754882812,200,100
0.7062497138977051,300,67
0.4101409912109375,400,50
0.4311022758483887,500,40
0.4658775329589844,600,34
0.6403076648712158,700,29
0.46763730049133295,800,25
0.4336483478546143,900,23
0.44028878211975103,1000,20
0.445929765701294,1100,19
0.4009866714477539,1200,17
0.4881541728973389,1300,16
0.4215793609619141,1400,15
0.4343984127044678,1500,14
0.5787169933319092,1600,13
0.5536091327667236,1700,12
0.4307451248168945,1800,12
0.4842150211334229,1900,11
0.5071837902069092,2000,10
0.4122326374053955,2100,10
0.3943371772766113,2200,10
0.4039928913116455,2300,9
0.3548233509063721,2400,9
0.5472538471221924,2500,8
0.5689921379089355,2600,8
0.465217113494873,2700,8
0.4567093849182129,2800,8
0.4676625728607178,2900,7
0.39258527755737305,3000,7
0.503633975982666,3100,7
0.4607963562011719,3200,7
0.4401516914367676,3300,7
0.3867068290710449,3400,6
0.4460186958312988,3500,6
0.3711657524108887,3600,6
0.37418198585510254,3700,6
0.375145435333252,3800,6
0.3872585296630859,3900,6
0.4000263214111328,4000,5
0.3446695804595947,4100,5
0.500035285949707,4200,5
0.3908758163452149,4300,5
0.39691901206970215,4400,5
0.3856990337371826,4500,5
0.3518180847167969,4600,5
0.4098389148712158,4700,5
0.4226210117340088,4800,5
0.5093724727630615,4900,5
0.5689015388488771,5000,4
0.6966581344604492,100,200
0.5126147270202637,200,100
0.5098569393157959,300,67
0.641845703125,400,50
0.5690832138061523,500,40
0.6080348491668701,600,34
0.6944386959075928,700,29
0.6013305187225342,800,25
0.5650646686553955,900,23
0.4759407043457031,1000,20
0.586167573928833,1100,19
0.643543004989624,1200,17
0.3828806877136231,1300,16
0.3594186305999756,1400,15
0.4137251377105713,1500,14
0.414980411529541,1600,13
0.4946630001068115,1700,12
0.574169397354126,1800,12
0.5094668865203857,1900,11
0.586838960647583,2000,10
0.4423894882202149,2100,10
0.4413988590240479,2200,10
0.37244486808776855,2300,9
0.4416446685791016,2400,9
0.4082686901092529,2500,8
0.4550468921661377,2600,8
0.4577620029449463,2700,8
0.6180381774902344,2800,8
0.5798859596252441,2900,7
0.4272682666778565,3000,7
0.4225363731384277,3100,7
0.43494749069213867,3200,7
0.40924906730651855,3300,7
0.4171085357666016,3400,6
0.3999729156494141,3500,6
0.373685359954834,3600,6
0.4589886665344238,3700,6
0.4405636787414551,3800,6
0.4069056510925293,3900,6
0.3742048740386963,4000,5
0.4099626541137695,4100,5
0.4542534351348877,4200,5
0.6249499320983887,4300,5
0.4101715087890625,4400,5
0.36861205101013184,4500,5
0.4412977695465088,4600,5
0.5209436416625977,4700,5
0.4600977897644043,4800,5
0.4766702651977539,4900,5
0.4220874309539795,5000,4
1.0872762203216553,100,200
0.5418608188629149,200,100
0.5376362800598145,300,67
0.4820539951324463,400,50
0.3595707416534424,500,40
0.43732690811157227,600,34
0.370603084564209,700,29
0.3910393714904785,800,25
0.37804746627807617,900,23
0.4524805545806885,1000,20
0.4891376495361328,1100,19
0.5574448108673096,1200,17
0.6317174434661865,1300,16
0.6681926250457764,1400,15
0.6743092536926271,1500,14
0.4961929321289063,1600,13
0.4013543128967285,1700,12
0.38057613372802734,1800,12
0.4795680046081543,1900,11
0.4854991436004639,2000,10
0.3691413402557373,2100,10
0.6027586460113525,2200,10
0.642160177230835,2300,9
0.4513466358184815,2400,9
0.439363956451416,2500,8
0.4487545490264893,2600,8
0.5327198505401611,2700,8
0.4621067047119141,2800,8
0.41269993782043457,2900,7
0.5320379734039307,3000,7
0.4778671264648438,3100,7
0.37413382530212397,3200,7
0.4454352855682373,3300,7
0.5834264755249023,3400,6
0.6610476970672607,3500,6
0.4774413108825684,3600,6
0.4827964305877686,3700,6
0.4736599922180176,3800,6
0.3903229236602783,3900,6
0.4485650062561035,4000,5
0.4874546527862549,4100,5
0.7249777317047119,4200,5
0.6996123790740967,4300,5
0.6032674312591553,4400,5
0.4403340816497803,4500,5
0.5308320522308351,4600,5
0.6124260425567627,4700,5
0.5126175880432129,4800,5
0.5143332481384277,4900,5
0.5563633441925049,5000,4
1.741004467010498,100,200
0.8211569786071777,200,100
1.1370792388916016,300,67
0.7928056716918945,400,50
0.7211470603942871,500,40
0.6402051448822021,600,34
0.5867984294891357,700,29
0.5965602397918701,800,25
0.5445525646209717,900,23
0.8927359580993652,1000,20
0.6569361686706543,1100,19
0.9611358642578124,1200,17
0.7264640331268309,1300,16
0.5920937061309814,1400,15
0.6657488346099854,1500,14
0.7138814926147461,1600,13
0.6490061283111572,1700,12
0.5372769832611084,1800,12
0.403881311416626,1900,11
0.3928143978118897,2000,10
0.4202566146850586,2100,10
0.582500696182251,2200,10
0.4263091087341309,2300,9
0.4182388782501221,2400,9
