time,size,num_batch
0.8603425025939941,100,401
0.6757721900939941,200,201
0.5766687393188477,300,134
0.5199227333068848,400,101
0.5123469829559326,500,81
0.5232627391815186,600,67
0.5793092250823975,700,58
0.6847102642059326,800,51
0.5334205627441406,900,45
0.5254905223846436,1000,41
0.5557374954223633,1100,37
0.5674107074737549,1200,34
0.5091621875762941,1300,31
0.498849630355835,1400,29
0.5152292251586914,1500,27
0.5039308071136475,1600,26
0.5080695152282715,1700,24
0.5268228054046631,1800,23
0.6193342208862305,1900,22
0.5091555118560791,2000,21
0.5084991455078125,2100,20
0.5162012577056885,2200,19
0.6058580875396729,2300,18
0.5754213333129883,2400,17
0.5739138126373291,2500,17
0.5568068027496338,2600,16
0.5702016353607178,2700,15
0.6509313583374023,2800,15
0.6585466861724854,2900,14
0.5862381458282471,3000,14
0.6174252033233643,3100,13
0.5346620082855225,3200,13
0.5389475822448729,3300,13
0.580681562423706,3400,12
0.638190507888794,3500,12
0.582432746887207,3600,12
0.6108815670013428,3700,11
0.6545760631561279,3800,11
0.6732656955718994,3900,11
0.591780424118042,4000,11
0.7107944488525391,4100,10
0.6856162548065186,4200,10
0.6226868629455566,4300,10
0.7040681838989258,4400,10
0.6638946533203125,4500,9
0.5756778717041016,4600,9
0.6443254947662354,4700,9
0.6349971294403076,4800,9
0.6104872226715088,4900,9
0.5832817554473877,5000,9
0.7975239753723145,100,401
0.6021597385406494,200,201
0.5577726364135742,300,134
0.6093170642852783,400,101
0.5180237293243408,500,81
0.5243709087371826,600,67
0.5735509395599365,700,58
0.5249767303466797,800,51
0.5774405002593994,900,45
0.5269124507904053,1000,41
0.5103189945220947,1100,37
0.5764992237091064,1200,34
0.5105464458465576,1300,31
0.5573694705963135,1400,29
0.5507736206054688,1500,27
0.5320477485656738,1600,26
0.5264105796813965,1700,24
0.5882742404937744,1800,23
0.5598361492156982,1900,22
0.5861701965332031,2000,21
0.5554020404815674,2100,20
0.5320136547088623,2200,19
0.5213453769683838,2300,18
0.5695400238037109,2400,17
0.5379214286804199,2500,17
0.5509083271026611,2600,16
0.5250825881958008,2700,15
0.5155169963836671,2800,15
0.5230941772460938,2900,14
0.5370876789093018,3000,14
0.5143547058105469,3100,13
0.5028698444366455,3200,13
0.5103011131286621,3300,13
0.5281124114990234,3400,12
0.5310664176940918,3500,12
0.546511173248291,3600,12
0.5374748706817627,3700,11
0.5382142066955566,3800,11
0.5292055606842041,3900,11
0.5443346500396729,4000,11
0.5625600814819336,4100,10
0.5534157752990723,4200,10
0.5261199474334717,4300,10
0.5304379463195801,4400,10
0.5315077304840088,4500,9
0.5602433681488037,4600,9
0.5547482967376709,4700,9
0.5230021476745605,4800,9
0.5133445262908936,4900,9
0.5773270130157471,5000,9
0.9588849544525146,100,401
0.5839266777038574,200,201
0.6550767421722412,300,134
0.5770549774169922,400,101
0.5330913066864014,500,81
0.5561637878417969,600,67
0.5539345741271973,700,58
0.5253736972808838,800,51
0.5009462833404541,900,45
0.5071148872375488,1000,41
0.5092730522155762,1100,37
0.5117669105529785,1200,34
0.6017148494720459,1300,31
0.5404489040374756,1400,29
0.5395810604095459,1500,27
0.5253322124481201,1600,26
0.5285766124725342,1700,24
0.5277523994445801,1800,23
0.5618100166320801,1900,22
0.5575692653656006,2000,21
0.5318808555603027,2100,20
0.535743236541748,2200,19
0.521979808807373,2300,18
0.5554463863372803,2400,17
0.5357177257537842,2500,17
0.5719554424285889,2600,16
0.5312604904174805,2700,15
0.5260894298553467,2800,15
0.5307896137237549,2900,14
0.5254602432250977,3000,14
0.5226297378540039,3100,13
0.5136990547180176,3200,13
0.5754578113555908,3300,13
0.6616771221160889,3400,12
0.6905958652496338,3500,12
0.6817083358764648,3600,12
0.6933965682983398,3700,11
0.6753835678100586,3800,11
0.7510678768157959,3900,11
0.6283111572265625,4000,11
0.6561384201049805,4100,10
0.525463342666626,4200,10
0.5389151573181152,4300,10
0.537060022354126,4400,10
0.5260536670684814,4500,9
0.5326230525970459,4600,9
0.5244066715240479,4700,9
0.5167272090911865,4800,9
0.518573522567749,4900,9
0.5147602558135986,5000,9
