time,size,num_batch
0.3331441879272461,100,151
0.21236944198608398,200,76
0.2048962116241455,300,51
0.18907928466796875,400,38
0.18333745002746585,500,31
0.18291354179382324,600,26
0.17924737930297852,700,22
0.18306303024291992,800,19
0.1838090419769287,900,17
0.1797959804534912,1000,16
0.1804993152618408,1100,14
0.18474102020263672,1200,13
0.1822645664215088,1300,12
0.1844487190246582,1400,11
0.1830463409423828,1500,11
0.1941092014312744,1600,10
0.1893568038940429,1700,9
0.1856827735900879,1800,9
0.18857502937316886,1900,8
0.18355345726013186,2000,8
0.18461275100708008,2100,8
0.1889750957489013,2200,7
0.1853129863739013,2300,7
0.1892497539520264,2400,7
0.18826079368591309,2500,7
0.18992257118225092,2600,6
0.18306756019592285,2700,6
0.1828746795654297,2800,6
0.18146991729736328,2900,6
0.18467330932617188,3000,6
0.1809678077697754,3100,5
0.1844344139099121,3200,5
0.18342185020446772,3300,5
0.18345069885253906,3400,5
0.18352460861206046,3500,5
0.1832988262176513,3600,5
0.18111133575439453,3700,5
0.18500471115112305,3800,4
0.18370437622070312,3900,4
0.1814258098602295,4000,4
0.181380033493042,4100,4
0.1898300647735596,4200,4
0.181290864944458,4300,4
0.1836674213409424,4400,4
0.28270626068115234,4500,4
0.18715476989746094,4600,4
0.18741559982299805,4700,4
0.1827986240386963,4800,4
0.18444204330444336,4900,4
0.1824641227722168,5000,4
0.39742374420166016,100,151
0.21635961532592773,200,76
0.2365942001342773,300,51
0.19975805282592773,400,38
0.24820828437805176,500,31
0.19149494171142575,600,26
0.18054556846618647,700,22
0.19598722457885745,800,19
0.18635916709899905,900,17
0.1824584007263184,1000,16
0.18064594268798828,1100,14
0.1845571994781494,1200,13
0.18637800216674805,1300,12
0.18339014053344727,1400,11
0.18235206604003906,1500,11
0.18325519561767575,1600,10
0.1890873908996582,1700,9
0.18758249282836914,1800,9
0.18896818161010745,1900,8
0.18430662155151367,2000,8
0.18509197235107425,2100,8
0.1847233772277832,2200,7
0.18446111679077148,2300,7
0.1884708404541016,2400,7
0.18521881103515625,2500,7
0.18526816368103027,2600,6
0.18164825439453125,2700,6
0.18361353874206546,2800,6
0.1809632778167725,2900,6
0.18524384498596191,3000,6
0.1865506172180176,3100,5
0.1830315589904785,3200,5
0.18309998512268064,3300,5
0.1823053359985352,3400,5
0.1851053237915039,3500,5
0.18392395973205566,3600,5
0.1819758415222168,3700,5
0.1826024055480957,3800,4
0.2175593376159668,3900,4
0.18361878395080566,4000,4
0.18269109725952148,4100,4
0.18199896812438965,4200,4
0.183760404586792,4300,4
0.19946980476379395,4400,4
0.18199920654296875,4500,4
0.18651986122131348,4600,4
0.19751811027526853,4700,4
0.19299674034118647,4800,4
0.20962262153625488,4900,4
0.1962761878967285,5000,4
0.38089585304260254,100,151
0.2199711799621582,200,76
0.20105886459350586,300,51
0.23568129539489746,400,38
0.2131185531616211,500,31
0.24029040336608887,600,26
0.20084524154663086,700,22
0.19481587409973145,800,19
0.1964550018310547,900,17
0.18338871002197266,1000,16
0.20262432098388672,1100,14
0.20606637001037598,1200,13
0.18829774856567383,1300,12
0.18265008926391602,1400,11
0.1813046932220459,1500,11
0.21368670463562012,1600,10
0.2243180274963379,1700,9
0.1955885887145996,1800,9
0.19312405586242676,1900,8
0.20015192031860352,2000,8
0.23464131355285645,2100,8
0.1983497142791748,2200,7
0.2001035213470459,2300,7
0.19951105117797852,2400,7
0.2000730037689209,2500,7
0.21603941917419434,2600,6
0.1880645751953125,2700,6
0.18698596954345703,2800,6
0.18734526634216309,2900,6
0.18578362464904785,3000,6
0.18694138526916504,3100,5
0.18488383293151855,3200,5
0.18211960792541504,3300,5
0.22600769996643066,3400,5
0.287628173828125,3500,5
0.35168004035949707,3600,5
0.2451786994934082,3700,5
0.2839033603668213,3800,4
0.3165853023529053,3900,4
0.31130313873291016,4000,4
0.2978990077972412,4100,4
0.2780110836029053,4200,4
0.29276490211486816,4300,4
0.3131849765777588,4400,4
0.28029894828796387,4500,4
0.24537062644958496,4600,4
0.19265508651733398,4700,4
0.200761079788208,4800,4
0.18358564376831055,4900,4
0.18764042854309082,5000,4
